EmpID,First name,Last name,Date of birth,SSN,State
214,Sarah,Simpson,04/12/85,xxx-xx-8166,FL
15,Samantha,Lara,08/09/93,xxx-xx-7526,CO
411,Stacy,Charles,20/12/57,xxx-xx-8526,PA
166,Michelle,Roy,29/07/78,xxx-xx-3944,MI
39,Joseph,Rogers,28/03/85,xxx-xx-3515,MN
423,Erica,Hines,13/10/75,xxx-xx-6153,NY
192,Zoe,Patel,20/12/67,xxx-xx-0817,WI
162,Matthew,Harvey,20/01/90,xxx-xx-0346,TN
131,Shawn,Davis,21/07/61,xxx-xx-1581,WV
20,April,Baldwin,07/08/61,xxx-xx-2014,MO
246,Vincent,Daniels,06/01/72,xxx-xx-2754,MT
525,Ann,Fields,22/08/60,xxx-xx-7911,IA
392,Jeffrey,Pearson,05/05/79,xxx-xx-2578,IL
474,Heather,Johnson,23/09/89,xxx-xx-0904,GA
478,Melissa,Fletcher,14/03/79,xxx-xx-6881,RI
101,Kimberly,Alvarez,04/09/84,xxx-xx-8680,LA
52,Monica,Jimenez,08/04/88,xxx-xx-1668,ND
182,Steven,Johnson,28/05/62,xxx-xx-7070,NE
637,Sarah,Wood,15/06/72,xxx-xx-6715,FL
510,Jesus,Petersen,28/03/58,xxx-xx-0770,OK
122,Rhonda,Rosales,10/04/63,xxx-xx-0286,AL
294,Nicole,Richardson,09/09/81,xxx-xx-5228,LA
327,Jennifer,Mendez,20/07/77,xxx-xx-1994,OR
145,Sandra,Petty,30/01/81,xxx-xx-7629,NC
565,Michael,Hester,13/04/87,xxx-xx-6836,SD
590,Joseph,Brown,28/08/82,xxx-xx-4744,NH
340,Michelle,Cooper,23/08/93,xxx-xx-2306,WA
176,Barbara,Wise,15/12/91,xxx-xx-7662,IN
63,Carol,Rosales,20/07/84,xxx-xx-4907,NJ
121,Mark,Villa,24/02/69,xxx-xx-2207,MS
70,Russell,Orozco,16/09/73,xxx-xx-5514,MS
446,Michelle,Sanchez,21/08/94,xxx-xx-5222,OK
156,Briana,Ayala,31/10/65,xxx-xx-4542,CT
343,Shane,Roberts,14/12/58,xxx-xx-6030,HI
599,Cassandra,Morris,24/01/73,xxx-xx-3831,MT
102,Krista,Thompson,25/07/84,xxx-xx-7445,KY
377,Jon,Bennett,13/09/57,xxx-xx-1689,NM
240,April,Thomas,03/12/93,xxx-xx-3580,CO
455,Haley,Martinez,15/01/68,xxx-xx-3736,ID
503,Isaac,Stafford,25/11/89,xxx-xx-5036,SD
269,John,Martinez,06/01/87,xxx-xx-3936,NH
219,John,Phillips,08/12/82,xxx-xx-4070,WV
301,Gary,Shelton,11/09/78,xxx-xx-9672,SD
84,Amanda,Gordon,12/10/69,xxx-xx-2966,ME
588,Jessica,Holt,12/09/63,xxx-xx-6084,NE
540,Stephanie,Estes,15/07/66,xxx-xx-9779,SD
329,Jessica,Brown,01/02/92,xxx-xx-7328,MS
74,Donna,Manning,19/05/73,xxx-xx-7781,NM
29,Nicholas,Owens,20/08/91,xxx-xx-7882,VA
92,Wendy,Ryan,13/05/60,xxx-xx-0741,AZ
489,Kimberly,Hooper,08/09/71,xxx-xx-3136,GA
561,Deborah,Gonzalez,28/05/75,xxx-xx-0643,MT
44,Laura,Yoder,18/04/87,xxx-xx-3016,IN
138,Kimberly,Velez,07/03/58,xxx-xx-0707,AZ
623,Kevin,Garcia,15/05/73,xxx-xx-4337,OK
173,Marcia,Jones,20/11/72,xxx-xx-0963,ND
148,Nicole,Baldwin,11/08/78,xxx-xx-5508,NV
184,Katherine,Juarez,13/02/86,xxx-xx-8687,CA
228,Paula,Thompson,22/09/85,xxx-xx-7734,NC
117,Joan,Hoover,27/02/73,xxx-xx-5429,NM
